name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
CALSPHERE 1,900,26,61.02074757,90.2154,69.2758,0.0023431,255.79289999999997,158.3087,825.8915321999999,0.00070514,U,active,1 00900U 64063C   26061.02074757  .00000700  00000+0  70514-3 0  9991,2 00900  90.2154  69.2758 0023431 255.7929 158.3087 13.76485887 56685,7354.514344164978,104.61422188195672,983.514344164978
CALSPHERE 2,902,26,61.01127786,90.2279,73.2572,0.0018752,172.4883,247.1834,811.7347374,6.598199999999999e-05,U,active,1 00902U 64063E   26061.01127786  .00000053  00000+0  65982-4 0  9998,2 00902  90.2279  73.2572 0018752 172.4883 247.1834 13.52891229841772,7439.777040042061,106.43871208067385,1068.7770400420613
LCS 1,1361,26,61.13529392,32.1418,71.1966,0.0013177,102.9481,257.2489,593.5859268,0.00017912,U,active,1 01361U 65034C   26061.13529392  .00000010  00000+0  17912-3 0  9991,2 01361  32.1418  71.1966 0013177 102.9481 257.2489  9.89309878199283,9166.008965696534,145.5560115209928,2795.008965696534
TEMPSAT 1,1512,26,61.17072001,89.9922,212.5903,0.0069527,187.71040000000002,355.8954,800.1531912000002,5.390000000000001e-05,U,active,1 01512U 65065E   26061.17072001  .00000036  00000+0  53900-4 0  9993,2 01512  89.9922 212.5903 0069527 187.7104 355.8954 13.33588652945785,7511.394649871637,107.97932314738982,1140.3946498716368
CALSPHERE 4A,1520,26,61.14119476,89.9047,123.5421,0.0070889,47.2669,344.7355,801.7545192,0.00020372,U,active,1 01520U 65065H   26061.14119476  .00000116  00000+0  20372-3 0  9992,2 01520  89.9047 123.5421 0070889  47.2669 344.7355 13.36257532948415,7501.389747048426,107.76365824069308,1130.3897470484262
OPS 5712 (P/L 160),2826,26,61.108632,69.9181,300.4256,0.0004637,230.5476,129.5261,885.6194771999999,0.0012864,U,active,1 02826U 67053A   26061.10863200  .00008814  00000+0  12864-2 0  9997,2 02826  69.9181 300.4256 0004637 230.5476 129.5261 14.76032462 50423,7020.012768302935,97.55882997646431,649.012768302935
LES-5,2866,26,60.96052422,2.375,99.7153,0.0056286,208.066,269.6887,65.6557536,0.0,U,active,1 02866U 67066E   26060.96052422 -.00000133  00000+0  00000+0 0  9997,2 02866   2.3750  99.7153 0056286 208.0660 269.6887  1.09426256129861,39779.026254170865,1315.9547375905834,33408.026254170865
SURCAL 159,2872,26,60.88458616,69.972,231.88119999999998,0.0009471,258.4731,101.5313,839.7435054,0.00012562,U,active,1 02872U 67053F   26060.88458616  .00000130  00000+0  12562-3 0  9992,2 02872  69.9720 231.8812 0009471 258.4731 101.5313 13.99572509995197,7273.412843919009,102.88855995241616,902.412843919009
OPS 5712 (P/L 153),2874,26,61.13848183,69.9763,344.7542,0.0008863,317.5671,42.4749,838.0860144000001,8.145900000000001e-05,U,active,1 02874U 67053H   26061.13848183  .00000060  00000+0  81459-4 0  9999,2 02874  69.9763 344.7542 0008863 317.5671  42.4749 13.96810024991831,7282.999486067825,103.09204367508175,911.9994860678253
OPS 3811 (DSP 2),5204,26,60.78794816,0.23290000000000002,356.3241,0.0024294,295.9533,298.4998,58.8974616,0.0,U,active,1 05204U 71039A   26060.78794816 -.00000214  00000+0  00000+0 0  9991,2 05204   0.2329 356.3241 0024294 295.9533 298.4998  0.98162436205173,42766.62282562663,1466.9562601319308,36395.62282562663
